Node,forT,P,Q
1302,90,-0.2435081366,0.0000000000
1302,91,-0.2363881707,0.0000000000
1302,92,-0.2272669673,0.0000000000
1303,89,0.2786105606,0.0000000000
1303,90,0.2797687329,0.0000000000
1303,91,0.2827810272,0.0000000000
1303,92,0.2877434272,0.0000000000
1304,89,-0.4563838125,0.0000000000
1304,90,-0.3143841977,0.0000000000
1304,91,-0.2426503450,0.0000000000
1304,92,-0.2428887304,0.0000000000
1305,89,0.2766563807,0.0000000000
1305,90,0.2789074883,0.0000000000
1305,91,0.2810822173,0.0000000000
1305,92,0.2831937924,0.0000000000
1306,89,0.6028896376,0.0000000000
1306,90,0.6051396481,0.0000000000
1306,91,0.6076053495,0.0000000000
1306,92,0.6100953635,0.0000000000
1307,89,0.3342724570,0.0000000000
1307,90,0.3343821682,0.0000000000
1307,91,0.3344878750,0.0000000000
1307,92,0.3345717582,0.0000000000
1308,89,0.3450415438,0.0000000000
1308,90,0.3451810599,0.0000000000
1308,91,0.3453068040,0.0000000000
1308,92,0.3454507808,0.0000000000
1309,89,-0.0125784345,0.0000000000
1309,90,-0.0110811565,0.0000000000
1309,91,-0.0107197416,0.0000000000
1309,92,-0.0104996453,0.0000000000
1310,89,0.3112020892,0.0000000000
1310,90,0.3122496858,0.0000000000
1310,91,0.3132548837,0.0000000000
1310,92,0.3142078136,0.0000000000
1311,89,0.1167604343,0.0000000000
1311,90,0.1019291491,0.0000000000
1311,91,0.0776850459,0.0000000000
1311,92,0.0402233346,0.0000000000
1312,89,0.2899109943,0.0000000000
1312,90,0.2903657896,0.0000000000
1312,91,0.2907764791,0.0000000000
1312,92,0.2911720866,0.0000000000
1313,89,0.2996406590,0.0000000000
1313,90,0.3015041819,0.0000000000
1313,91,0.3032195431,0.0000000000
1313,92,0.3051642065,0.0000000000
1314,89,0.3243904211,0.0000000000
1314,90,0.3244682834,0.0000000000
1314,91,0.3254514104,0.0000000000
1314,92,0.3266217908,0.0000000000
1315,89,0.3462410786,0.0000000000
1315,90,0.3460440032,0.0000000000
1315,91,0.3459371421,0.0000000000
1315,92,0.3459859104,0.0000000000
1316,89,-0.0031765669,0.0000000000
