Node,QtBids,QBid,QBidSeg,forT,QuantityLoQ,PriceLoQ,QuantityHiQ,PriceHiQ,Xlb,Xub,AlphaOmegaSet,NoNewAct,solution
10060032,142,457,517,1,0,25.1,0.006,25.1,0,1,0,0,0.999999
10060032,142,457,518,1,0,-3,-0.060313363,-3,0,1,0,0,2.82E-08
10060032,142,458,519,2,0,25.1,0.006,25.1,0,1,0,0,0.999999
10060032,142,458,520,2,0,-3,-0.065928344,-3,0,1,0,0,2.66E-08
10060032,142,459,521,3,0,25.1,0.006,25.1,0,1,0,0,0.999999
10060032,142,459,522,3,0,-3,-0.074513726,-3,0,1,0,0,2.25E-08
10060032,142,460,523,4,0,-25.1,-0.02,-25.1,0,1,0,0,0
10060032,142,460,524,4,-0.02,-25.1,-0.108471605,-25.1,0,1,0,0,3.15E-08
10060033,143,461,525,1,0,-3,-0.073854011,-3,0,1,0,0,2.25E-08
10060033,143,462,526,2,0,-3,-0.080729584,-3,0,1,0,0,2.03E-08
10060033,143,463,527,3,0,-3,-0.091242426,-3,0,1,0,0,1.73E-08
10060033,143,464,528,4,0,-3,-0.108333919,-3,0,1,0,0,1.31E-08
10060034,144,465,529,1,0,-3,-0.087240153,-3,0,1,0,0,1.90E-08
10060034,144,466,530,2,0,-3,-0.095361932,-3,0,1,0,0,1.71E-08
10060034,144,467,531,3,0,-3,-0.107780242,-3,0,1,0,0,1.45E-08
10060034,144,468,532,4,0,-3,-0.127969591,-3,0,1,0,0,1.24E-08
10060035,145,469,533,1,0,-3,-0.169379381,-3,0,1,0,0,8.69E-09
10060035,145,470,534,2,0,-3,-0.185148059,-3,0,1,0,0,7.95E-09
10060035,145,471,535,3,0,-3,-0.209258582,-3,0,1,0,0,6.88E-09
10060035,145,472,536,4,0,-3,-0.24845681,-3,0,1,0,0,5.41E-09
10060036,146,473,537,1,0,-3,-0.32488634,-3,0,1,0,0,4.38E-09
10060036,146,474,538,2,0,-3,-0.355132219,-3,0,1,0,0,4.01E-09
10060036,146,475,539,3,0,-3,-0.401378576,-3,0,1,0,0,3.49E-09
10060036,146,476,540,4,0,-3,-0.47656464,-3,0,1,0,0,2.88E-09
10060037,147,477,541,1,0,-3,-0.058044759,-3,0,1,0,0,2.88E-08
10060037,147,478,542,2,0,-3,-0.063448541,-3,0,1,0,0,2.73E-08
10060037,147,479,543,3,0,-3,-0.071710995,-3,0,1,0,0,2.32E-08
10060037,147,480,544,4,0,-3,-0.085143869,-3,0,1,0,0,1.72E-08
10060038,148,481,545,1,0,-3,-0.123985394,-3,0,1,0,0,1.20E-08
10060038,148,482,546,2,0,-3,-0.135528038,-3,0,1,0,0,1.11E-08
10060038,148,483,547,3,0,-3,-0.153176896,-3,0,1,0,0,9.58E-09
10060038,148,484,548,4,0,-3,-0.181869926,-3,0,1,0,0,7.81E-09
10060039,149,485,549,1,0,-3,-0.167533325,-3,0,1,0,0,9.25E-09
10060039,149,486,550,2,0,-3,-0.183130142,-3,0,1,0,0,8.36E-09
10060039,149,487,551,3,0,-3,-0.206977885,-3,0,1,0,0,7.66E-09
10060039,149,488,552,4,0,-3,-0.245748895,-3,0,1,0,0,6.84E-09
10060040,150,489,553,1,0,-4.7,-0.521143191,-4.7,0,1,0,0,2.92E-09
10060040,150,489,554,1,-0.521143191,-3,-1.022162151,-3,0,1,0,0,2.95E-09
10060040,150,490,555,2,0,-4.7,-0.569659955,-4.7,0,1,0,0,2.69E-09
10060040,150,490,556,2,-0.569659955,-3,-1.117322179,-3,0,1,0,0,2.71E-09
10060040,150,491,557,3,0,-4.7,-0.643842742,-4.7,0,1,0,0,2.45E-09
10060040,150,491,558,3,-0.643842742,-3,-1.262823143,-3,0,1,0,0,2.47E-09
10060040,150,492,559,4,0,-4.7,-0.76444709,-4.7,0,1,0,0,2.18E-09
10060040,150,492,560,4,-0.76444709,-3,-1.499374637,-3,0,1,0,0,2.19E-09
10060041,151,493,561,1,0,-3,-0.215872585,-3,0,1,0,0,7.03E-09
10060041,151,494,562,2,0,-3,-0.235969633,-3,0,1,0,0,6.48E-09
10060041,151,495,563,3,0,-3,-0.266698289,-3,0,1,0,0,5.93E-09
10060041,151,496,564,4,0,-3,-0.316656099,-3,0,1,0,0,5.28E-09
10060042,152,497,565,1,0,-3,-0.035405685,-3,0,1,0,0,5.48E-08
10060042,152,498,566,2,0,-3,-0.038701841,-3,0,1,0,0,4.91E-08
10060042,152,499,567,3,0,-3,-0.043741708,-3,0,1,0,0,4.18E-08
10060042,152,500,568,4,0,-3,-0.051935387,-3,0,1,0,0,3.11E-08
10060043,153,501,569,1,0,-3,-0.057144051,-3,0,1,0,0,3.02E-08
10060043,153,502,570,2,0,-3,-0.062463979,-3,0,1,0,0,2.71E-08
10060043,153,503,571,3,0,-3,-0.070598221,-3,0,1,0,0,2.40E-08
10060043,153,504,572,4,0,-3,-0.08382265,-3,0,1,0,0,1.90E-08
10060044,154,505,573,1,0,-3,-0.107601353,-3,0,1,0,0,1.45E-08
10060044,154,506,574,2,0,-3,-0.117618694,-3,0,1,0,0,1.32E-08
10060044,154,507,575,3,0,-3,-0.132935345,-3,0,1,0,0,1.14E-08
10060044,154,508,576,4,0,-3,-0.157836737,-3,0,1,0,0,8.99E-09
10060045,155,509,577,1,0,-3,-0.446141536,-3,0,1,0,0,3.20E-09
10060045,155,510,578,2,0,-3,-0.487675886,-3,0,1,0,0,2.92E-09
10060045,155,511,579,3,0,-3,-0.551182467,-3,0,1,0,0,2.57E-09
10060045,155,512,580,4,0,-3,-0.654429732,-3,0,1,0,0,2.19E-09
10060046,156,513,581,1,0,-3,-0.263961015,-3,0,1,0,0,5.50E-09
10060046,156,514,582,2,0,-3,-0.288534941,-3,0,1,0,0,5.02E-09
10060046,156,515,583,3,0,-3,-0.326108806,-3,0,1,0,0,4.36E-09
10060046,156,516,584,4,0,-3,-0.387195368,-3,0,1,0,0,3.70E-09
10060047,157,517,585,1,0,-3,-0.098678107,-3,0,1,0,0,1.65E-08
10060047,157,518,586,2,0,-3,-0.107864723,-3,0,1,0,0,1.48E-08
